Research ID,Function ID,unused
R-AdvancedModules_Mk1,Struc-Research-Upgrade01,0
R-AdvancedModules_Mk1,Struc-Power Upgrade01,0
R-AdvancedModules_Mk2,Struc-Research-Upgrade02,1
R-AdvancedModules_Mk3,Struc-Research-Upgrade03,2
R-AdvancedModules_Mk3,Struc-Power Upgrade01b,2
R-AdvancedModules_Mk4,Struc-Research-Upgrade04,3
R-AdvancedModules_Mk4,Struc-Power Upgrade01c,3
R-AdvancedModules_Mk5,Struc-Research-Upgrade05,4
R-AdvancedModules_Mk6,Struc-Research-Upgrade06,5
R-AdvancedModules_Mk6,Struc-Power Upgrade02,5
R-AdvancedModules_Mk7,Struc-Research-Upgrade07,6
R-AdvancedModules_Mk7,Struc-Power Upgrade03,6
R-AdvancedModules_Mk8,Struc-Research-Upgrade08,7
R-AdvancedModules_Mk9,Struc-Research-Upgrade09,8
R-AdvancedModules_Mk9,Struc-Power Upgrade03a,8
R-Manufacturing_Mk1,Struc-Factory-Upgrade01,9
R-Manufacturing_Mk1,Struc-VTOLFactory-Upgrade01,9
R-Manufacturing_Mk1,Sys-Engineering-Upgrade01,9
R-Manufacturing_Mk2,Struc-Factory-Upgrade02,10
R-Manufacturing_Mk2,Struc-VTOLFactory-Upgrade02,10
R-Manufacturing_Mk3,Struc-Factory-Upgrade03,11
R-Manufacturing_Mk3,Struc-VTOLFactory-Upgrade03,11
R-Manufacturing_Mk4,Struc-Factory-Upgrade04,12
R-Manufacturing_Mk4,Struc-VTOLFactory-Upgrade04,12
R-Manufacturing_Mk5,Struc-Factory-Upgrade05,13
R-Manufacturing_Mk5,Struc-VTOLFactory-Upgrade05,13
R-Manufacturing_Mk5,Sys-Engineering-Upgrade02,13
R-Manufacturing_Mk6,Struc-Factory-Upgrade06,14
R-Manufacturing_Mk6,Struc-VTOLFactory-Upgrade06,14
R-Manufacturing_Mk7,Struc-Factory-Upgrade07,15
R-Manufacturing_Mk7,Struc-VTOLFactory-Upgrade07,15
R-Manufacturing_Mk8,Struc-Factory-Upgrade08,16
R-Manufacturing_Mk8,Struc-VTOLFactory-Upgrade08,16
R-Manufacturing_Mk9,Struc-Factory-Upgrade09,17
R-Manufacturing_Mk9,Struc-VTOLFactory-Upgrade09,17
R-Manufacturing_Mk9,Sys-Engineering-Upgrade03,17
