Research ID,Structure ID,unused,unused
R-Munitions,PillBox2,0,1
R-Command,A0ComDroidControl,0,2
R-Construction,A0HardcreteMk1Wall,0,3
R-Construction,A0HardcreteMk1CWall,0,3
R-Construction,A0TankTrap,0,3
R-Construction,A0HardcreteMk1Gate,0,3
R-Recon,Sys-SensoTower02,0,4
R-Recon,Sys-RadarDetector01,0,4
R-FlakCannon,AASite-QuadBof,0,5
R-ModularDesign,A0PowMod1,0,7
R-ModularDesign,A0FacMod1,0,7
R-ModularDesign,A0ResearchModule1,0,7
R-Artillery,Emplacement-MortarPit02,0,8
R-CounterBattery,Sys-CB-Tower01,0,9
R-CounterBattery,Sys-VTOL-CB-Tower01,0,9
R-Repair,A0RepairCentre3,0,10
R-Flamethrower,PillBox5,0,11
R-Aircraft,A0VTolFactory1,0,12
R-Aircraft,A0VtolPad,0,12
R-Aircraft,Sys-VTOL-RadarTower01,0,12
R-HeavyWeapons,WallTower04,0,14
R-HellfireArtillery,Emplacement-Howitzer-Incenediary,0,15
R-HeavyArtillery,Emplacement-Howitzer105,0,16
R-AntiAirMissiles,P0-AASite-SAM1,0,17
